review_id,restaurant_name,cuisine_type,city,rating,review_text,review_length,review_date
1,The Burger Joint,American,Bengaluru,5,"Fresh ingredients and bold flavors, highly recommend this place. Best meal I've had in months, will definitely come back!",121,2025-05-15
2,Green Leaf Cafe,Vegan,Mumbai,3,"Reasonable prices, the menu could use more variety though.",58,2023-07-29
3,Smoky BBQ Pit,American,Mumbai,4,The food was absolutely delicious and beautifully presented. Quick service even though the place was packed.,108,2024-12-05
4,Coastal Kitchen,Seafood,Chennai,4,"Great spot for a family dinner, kids loved it too. A hidden gem, the flavors were authentic and comforting.",107,2023-06-11
5,Rustic Oven,Italian,Bengaluru,4,The food was absolutely delicious and beautifully presented.,60,2024-01-29
6,Pasta Palace,Italian,Hyderabad,3,"Average experience overall, might try another dish next time.",61,2023-06-13
7,Ocean Grill,Seafood,Chennai,5,"Best meal I've had in months, will definitely come back! Portion sizes were generous and the prices were very fair.",115,2025-07-17
8,Curry House,Indian,Delhi,5,"A hidden gem, the flavors were authentic and comforting.",56,2024-06-30
9,Blue Lotus,Thai,Hyderabad,3,"Not the best, not the worst, a fairly typical dining experience.",64,2024-05-16
10,Ocean Grill,Seafood,Ahmedabad,4,The food was absolutely delicious and beautifully presented. The ambiance was cozy and the staff made us feel welcome.,118,2024-03-25
11,Green Leaf Cafe,Vegan,Chennai,3,"Average experience overall, might try another dish next time. Not the best, not the worst, a fairly typical dining experience.",126,2025-04-01
12,Curry House,Indian,Delhi,4,"Great spot for a family dinner, kids loved it too. Quick service even though the place was packed.",98,2025-10-19
13,Ocean Grill,Seafood,Pune,4,The staff went above and beyond to accommodate our allergies.,61,2023-10-13
14,Rustic Oven,Italian,Delhi,2,The food was bland and lacked any real seasoning. The place was dirty and the tables hadn't been cleaned properly.,114,2025-05-27
15,Saffron Table,Indian,Mumbai,1,The food was cold by the time it reached our table.,51,2025-10-07
16,Sushi Zen,Japanese,Hyderabad,4,"A hidden gem, the flavors were authentic and comforting. Amazing service, our server was attentive and friendly.",112,2023-11-24
17,Coastal Kitchen,Seafood,Mumbai,2,I found a hair in my food and the manager barely apologized. The food was cold by the time it reached our table.,112,2025-08-16
18,Blue Lotus,Thai,Hyderabad,4,"Amazing service, our server was attentive and friendly. Fresh ingredients and bold flavors, highly recommend this place.",120,2024-06-30
19,The Burger Joint,American,Delhi,3,"It's a standard restaurant, does the job but nothing memorable.",63,2025-07-18
20,Saffron Table,Indian,Bengaluru,2,The portions were tiny for the price we paid. I found a hair in my food and the manager barely apologized.,106,2023-08-06
21,Sushi Zen,Japanese,Ahmedabad,5,"Loved the dessert menu, the tiramisu was outstanding.",53,2025-02-04
22,Chai & Chaat,Indian,Chennai,3,"The food was okay, nothing special but not bad either. Not the best, not the worst, a fairly typical dining experience.",119,2024-10-25
23,Pasta Palace,Italian,Mumbai,3,"Service was fine, food took a bit longer than expected.",55,2024-05-05
24,Bella Napoli,Italian,Delhi,2,I found a hair in my food and the manager barely apologized.,60,2025-09-22
25,Sushi Zen,Japanese,Hyderabad,4,"Fresh ingredients and bold flavors, highly recommend this place.",64,2025-08-31
26,Curry House,Indian,Chennai,5,"The chef clearly knows what they're doing, every dish was perfect. Great spot for a family dinner, kids loved it too.",117,2024-02-16
27,Noodle Bar,Chinese,Bengaluru,3,"Average experience overall, might try another dish next time. Not the best, not the worst, a fairly typical dining experience.",126,2025-11-25
28,Bella Napoli,Italian,Bengaluru,4,"A hidden gem, the flavors were authentic and comforting.",56,2024-11-23
29,Rustic Oven,Italian,Ahmedabad,4,"Amazing service, our server was attentive and friendly.",55,2024-03-27
30,Le Petit Bistro,French,Mumbai,3,The ambiance was nice but the food was just average.,52,2023-05-19
31,Saffron Table,Indian,Delhi,3,"Not the best, not the worst, a fairly typical dining experience. Average experience overall, might try another dish next time.",126,2024-05-02
32,Rustic Oven,Italian,Hyderabad,5,Quick service even though the place was packed.,47,2025-08-26
33,Curry House,Indian,Hyderabad,4,"Great spot for a family dinner, kids loved it too.",50,2023-07-13
34,Smoky BBQ Pit,American,Ahmedabad,3,"Not the best, not the worst, a fairly typical dining experience. Reasonable prices, the menu could use more variety though.",123,2025-05-17
35,Taco Fiesta,Mexican,Mumbai,4,The staff went above and beyond to accommodate our allergies. Portion sizes were generous and the prices were very fair.,120,2023-05-05
36,Le Petit Bistro,French,Jaipur,2,I found a hair in my food and the manager barely apologized.,60,2024-01-28
37,Sushi Zen,Japanese,Jaipur,4,"Fresh ingredients and bold flavors, highly recommend this place.",64,2025-05-14
38,Le Petit Bistro,French,Ahmedabad,1,I found a hair in my food and the manager barely apologized. Service was extremely slow and the staff seemed disinterested.,123,2023-06-04
39,Blue Lotus,Thai,Delhi,3,"Service was fine, food took a bit longer than expected.",55,2023-01-31
40,Urban Tandoor,Indian,Hyderabad,3,"Service was fine, food took a bit longer than expected. Reasonable prices, the menu could use more variety though.",114,2025-09-21
41,Golden Dragon,Chinese,Pune,4,"The food was absolutely delicious and beautifully presented. The chef clearly knows what they're doing, every dish was perfect.",127,2023-12-04
42,Noodle Bar,Chinese,Jaipur,4,"The staff went above and beyond to accommodate our allergies. Loved the dessert menu, the tiramisu was outstanding.",115,2024-08-07
43,Sushi Zen,Japanese,Ahmedabad,4,The ambiance was cozy and the staff made us feel welcome. The food was absolutely delicious and beautifully presented.,118,2024-01-24
44,Green Leaf Cafe,Vegan,Delhi,3,"Not the best, not the worst, a fairly typical dining experience.",64,2023-04-28
45,Golden Dragon,Chinese,Mumbai,1,Way overpriced for the quality and quantity we received.,56,2025-11-06
46,Chai & Chaat,Indian,Mumbai,2,,52,2023-05-20
47,Rustic Oven,Italian,Mumbai,4,"A hidden gem, the flavors were authentic and comforting.",56,2024-05-19
48,Urban Tandoor,Indian,Chennai,4,"Fresh ingredients and bold flavors, highly recommend this place. The ambiance was cozy and the staff made us feel welcome.",122,2025-12-06
49,Le Petit Bistro,French,Pune,3,,105,2024-06-27
50,Noodle Bar,Chinese,Jaipur,2,The food was cold by the time it reached our table.,51,2024-10-09
51,Chai & Chaat,Indian,Pune,3,"Service was fine, food took a bit longer than expected.",55,2023-07-24
52,Sushi Zen,Japanese,Chennai,4,The ambiance was cozy and the staff made us feel welcome.,57,2024-12-15
53,Pasta Palace,Italian,Ahmedabad,2,I found a hair in my food and the manager barely apologized. Our order was wrong and it took forever to get it corrected.,121,2023-11-20
54,Blue Lotus,Thai,Pune,5,"Best meal I've had in months, will definitely come back!",56,2024-09-05
55,Taco Fiesta,Mexican,Pune,4,"Fresh ingredients and bold flavors, highly recommend this place.",64,2023-08-08
56,Chai & Chaat,Indian,Pune,4,"The ambiance was cozy and the staff made us feel welcome. Great spot for a family dinner, kids loved it too.",108,2024-03-07
57,Saffron Table,Indian,Hyderabad,2,The food was cold by the time it reached our table. Service was extremely slow and the staff seemed disinterested.,114,2025-09-27
58,Ocean Grill,Seafood,Delhi,3,The ambiance was nice but the food was just average.,52,2023-04-01
59,Ocean Grill,Seafood,Ahmedabad,4,"Loved the dessert menu, the tiramisu was outstanding. The chef clearly knows what they're doing, every dish was perfect.",120,2023-11-27
60,Taco Fiesta,Mexican,Ahmedabad,4,"Loved the dessert menu, the tiramisu was outstanding.",53,2023-06-04
61,Smoky BBQ Pit,American,Pune,3,"Decent place for a quick bite if you're in the area. The food was okay, nothing special but not bad either.",107,2023-10-31
62,Smoky BBQ Pit,American,Bengaluru,4,"The ambiance was cozy and the staff made us feel welcome. Great spot for a family dinner, kids loved it too.",108,2023-03-23
63,Taco Fiesta,Mexican,Bengaluru,2,"Definitely not worth the hype, quite disappointing overall. Way overpriced for the quality and quantity we received.",116,2024-12-25
64,The Burger Joint,American,Chennai,3,"The food was okay, nothing special but not bad either. Average experience overall, might try another dish next time.",116,2023-12-29
65,Urban Tandoor,Indian,Hyderabad,4,"Best meal I've had in months, will definitely come back! Amazing service, our server was attentive and friendly.",112,2024-05-23
66,Golden Dragon,Chinese,Jaipur,4,The ambiance was cozy and the staff made us feel welcome.,57,2025-08-21
67,Smoky BBQ Pit,American,Ahmedabad,4,The ambiance was cozy and the staff made us feel welcome.,57,2024-09-17
68,Curry House,Indian,Pune,5,"Fresh ingredients and bold flavors, highly recommend this place. Amazing service, our server was attentive and friendly.",120,2025-03-27
69,Smoky BBQ Pit,American,Chennai,4,"Great spot for a family dinner, kids loved it too. Loved the dessert menu, the tiramisu was outstanding.",104,2025-11-09
70,The Spice Route,Indian,Pune,3,"Decent place for a quick bite if you're in the area. It's a standard restaurant, does the job but nothing memorable.",116,2023-08-25
71,Golden Dragon,Chinese,Chennai,3,"The ambiance was nice but the food was just average. Not the best, not the worst, a fairly typical dining experience.",117,2023-08-11
